method,clusters_size,n_cluster,silhouette_score,coph_corr,features
average,[  28   29  507    1  492 4193],6,0.4404971323615007,0.8241312523049772,"['points', 'climb_total', 'climb/length']"
single,[4742   53  453    1    1],5,0.4403986379938169,0.6072572232266966,"['points', 'median_delta', 'startlist_quality']"
single,[4742   53  453    1    1],5,0.4398206768219637,0.5807048766712455,"['points', 'climb/length', 'median_delta']"
ward,[3785  508  957],3,0.43925265197830593,0.7235126128442191,"['points', 'climb_total', 'median_delta', 'startlist_quality']"
average,[   2  506  369  685 3688],5,0.43794078652253404,0.8211064726405677,"['points', 'length', 'climb_total', 'median_delta']"
average,[ 508  905 3837],3,0.43767559607381207,0.8043783632652045,"['points', 'climb_total', 'startlist_quality']"
average,[  12   42  508 4688],4,0.4371955536751162,0.818475803529342,"['points', 'length', 'climb/length', 'startlist_quality']"
single,[4742   53  453    1    1],5,0.43672968221265024,0.5749379737370216,"['points', 'climb_total', 'median_delta']"
average,[  11    7   22  508 3857  845],6,0.4358892721204869,0.8333786206708368,"['points', 'climb/length', 'startlist_quality']"
average,[  28   77 4605    6  534],5,0.4349019641906099,0.810091730956877,"['climb_total', 'climb/length', 'median_delta']"
average,[  27    1   77 4605    6  534],6,0.43284527794374117,0.810091730956877,"['climb_total', 'climb/length', 'median_delta']"
single,[4742   52    1  453    1    1],6,0.43266331876670827,0.5749379737370216,"['points', 'climb_total', 'median_delta']"
average,[  29  508 4713],3,0.4325018241781131,0.7924475994204241,"['points', 'climb_total', 'climb/length', 'startlist_quality']"
ward,[ 508  871 3871],3,0.4321399271007507,0.7276846801069429,"['points', 'climb_total', 'startlist_quality']"
single,[   2   22 5219    2    1    2    1    1],8,0.4316771790120997,0.655289418232598,"['length', 'climb_total', 'climb/length']"
single,[4742   51    1    1  453    1    1],7,0.431519893249172,0.5749379737370216,"['points', 'climb_total', 'median_delta']"
complete,[3704  508   61  789   45  143],6,0.4313413043235175,0.7376555532823066,"['points', 'climb_total', 'climb/length', 'median_delta']"
average,[5203   18   29],3,0.4306776471547391,0.7694490930220816,"['length', 'climb_total', 'climb/length', 'startlist_quality']"
single,[4741    1   53  453    1    1],6,0.4304264323009593,0.5807048766712455,"['points', 'climb/length', 'median_delta']"
average,[  27   28  508  832 3413  442],6,0.4303490095397795,0.8486401110887601,"['points', 'length', 'climb/length']"
complete,[ 508  377  884 3481],4,0.42946356703313965,0.772524159777811,"['points', 'length', 'climb_total']"
single,[5248    1    1],3,0.42940131402393905,0.5373400586002761,"['points', 'climb_total', 'climb/length', 'median_delta']"
average,[  28    2 4496  655   69],5,0.4292535839051717,0.8011844286909774,"['climb/length', 'median_delta', 'startlist_quality']"
single,[   2 5245    1    1    1],5,0.429111065328542,0.6684329031312753,"['climb_total', 'climb/length', 'median_delta']"
complete,[  69  508 3986  687],4,0.42906005617394305,0.8253409968641661,"['points', 'climb_total', 'median_delta']"
single,[   2    2 5243    1    1    1],6,0.42895209504209303,0.6684329031312753,"['climb_total', 'climb/length', 'median_delta']"
ward,[ 662  773 3815],3,0.4289240451691706,0.6925810125318884,"['length', 'climb_total', 'climb/length']"
complete,[ 265  295 4690],3,0.4284631859054339,0.7050285641136939,"['climb/length', 'median_delta', 'startlist_quality']"
average,[  28   29   36  471    1  492 4193],7,0.42827350076686793,0.8241312523049772,"['points', 'climb_total', 'climb/length']"
average,[   2  506    3  366  685 3688],6,0.4280425402047875,0.8211064726405677,"['points', 'length', 'climb_total', 'median_delta']"
ward,[ 508 3478  621  643],4,0.42787383399797174,0.7237743129499625,"['points', 'climb/length', 'startlist_quality']"
average,[  57  508  635 3547  503],5,0.42696617075746457,0.8189888002129369,"['points', 'length', 'climb_total', 'climb/length']"
average,[ 508  718 4024],3,0.42627287003489517,0.8051293996915647,"['points', 'length', 'climb_total', 'startlist_quality']"
average,[  27   28  508  515  317 3413  442],7,0.4261201089792896,0.8486401110887601,"['points', 'length', 'climb/length']"
complete,[ 253  508  902 3587],4,0.4260277861684559,0.8220538653295212,"['points', 'median_delta', 'startlist_quality']"
average,[  30    2  506   92  566 3350  696    8],8,0.42593905494351564,0.8348932356893539,"['points', 'length', 'climb/length', 'median_delta']"
ward,[ 508  680 1207 2855],4,0.4256588683788304,0.8028647541340176,"['points', 'length', 'climb_total']"
single,[4742   53  200  255],4,0.42552467726931353,0.6187829831853149,"['points', 'length', 'climb_total']"
average,[   2  506    3  176  683 1051    3 2826],8,0.4251541811945408,0.8608467270688923,"['points', 'length', 'median_delta']"
average,[ 277    2 4971],3,0.4247753502251981,0.7790903682452285,"['climb_total', 'median_delta', 'startlist_quality']"
ward,[ 508 3478 1264],3,0.424615550844732,0.7237743129499625,"['points', 'climb/length', 'startlist_quality']"
complete,[3704  508   32   29  789   45  143],7,0.4244615520555581,0.7376555532823066,"['points', 'climb_total', 'climb/length', 'median_delta']"
single,[4742   52    1  200  255],5,0.42436684742696146,0.6187829831853149,"['points', 'length', 'climb_total']"
complete,[4212   61  977],3,0.4240117610615669,0.7376555532823066,"['points', 'climb_total', 'climb/length', 'median_delta']"
average,[  55 4686  506    3],4,0.42374097405542127,0.7797286036471732,"['points', 'climb_total', 'climb/length', 'median_delta']"
complete,[ 309 3691    2  506   30   80  305  327],8,0.42369510072044564,0.7370294740594558,"['points', 'climb/length', 'median_delta']"
average,[  36  197 5017],3,0.42339628526909623,0.7545201908029431,"['length', 'climb_total', 'climb/length', 'median_delta', 'startlist_quality']"
single,[4742   53  455],3,0.4231131466238315,0.5601262463056875,"['points', 'length', 'climb_total', 'climb/length']"
single,[5248    1    1],3,0.42250336726744364,0.6418531234253422,"['climb_total', 'climb/length', 'median_delta', 'startlist_quality']"
single,[4742   53  200  255],4,0.42177640107952247,0.6642148845382484,"['points', 'length', 'startlist_quality']"
average,[  30  508   92 3916  704],5,0.4214114982702,0.8348932356893539,"['points', 'length', 'climb/length', 'median_delta']"
average,[  52  292 4398  508],4,0.42099427969262093,0.8076228357880288,"['points', 'climb/length', 'median_delta', 'startlist_quality']"
complete,[4000  508   30   80  305  327],6,0.42038192688791726,0.7370294740594558,"['points', 'climb/length', 'median_delta']"
single,[4742   53  255  200],4,0.4203011373734024,0.6331987565727503,"['points', 'length', 'climb/length']"
ward,[ 508  581  800 3361],4,0.4200620704135264,0.7759047214647473,"['points', 'length', 'climb_total', 'startlist_quality']"
average,[ 508 3838  902    1    1],5,0.4194196311662692,0.7819670240211375,"['points', 'climb_total', 'median_delta', 'startlist_quality']"
single,[4741    1   51    1    1  453    1    1],8,0.41919525470290786,0.5749379737370216,"['points', 'climb_total', 'median_delta']"
ward,[3943  508  799],3,0.41887234992174144,0.7032871276372122,"['points', 'climb_total', 'climb/length', 'median_delta', 'startlist_quality']"
ward,[ 506  808 3936],3,0.41798398014889043,0.6879460582845404,"['length', 'climb_total', 'climb/length', 'median_delta']"
ward,[ 508 1349 3393],3,0.4171207301420559,0.7477734020947466,"['points', 'length', 'median_delta']"
average,[  53  455  134  550  844    5 3209],7,0.4166662436195516,0.8517649088446797,"['points', 'length', 'startlist_quality']"
single,[   2 4740   53  455],4,0.41617192806275316,0.5601262463056875,"['points', 'length', 'climb_total', 'climb/length']"
complete,[  52  201  508  902 3587],5,0.4156735783770673,0.8220538653295212,"['points', 'median_delta', 'startlist_quality']"
average,[   2    2  504    3  366  685 3688],7,0.4153874309254608,0.8211064726405677,"['points', 'length', 'climb_total', 'median_delta']"
ward,[ 886 2848  508  547  461],5,0.41531797843166157,0.797871539184922,"['points', 'median_delta', 'startlist_quality']"
average,[  11    7   22  508 3857  173  672],7,0.4148457612100744,0.8333786206708368,"['points', 'climb/length', 'startlist_quality']"
ward,[2096  508 2646],3,0.4147173859280022,0.5889858797956461,"['points', 'climb_total', 'climb/length']"
average,[5159   57   34],3,0.41435511032142486,0.7574632341305175,"['length', 'climb/length', 'startlist_quality']"
average,[  27    1   77 4605    6   11  523],7,0.4137431320948556,0.810091730956877,"['climb_total', 'climb/length', 'median_delta']"
ward,[2096  508 2054  496   96],5,0.41359399632208843,0.5889858797956461,"['points', 'climb_total', 'climb/length']"
single,[4742   53  455],3,0.4133349482305204,0.5772703096966425,"['points', 'length', 'climb_total', 'startlist_quality']"
average,[  56  829 3883   11  471],5,0.413315197813244,0.817222247152381,"['length', 'climb/length', 'median_delta']"
complete,[4000    2  506   30   80  305  327],7,0.4126339846039678,0.7370294740594558,"['points', 'climb/length', 'median_delta']"
average,[5159   57   12   22],4,0.4115996116980617,0.7574632341305175,"['length', 'climb/length', 'startlist_quality']"
complete,[ 146  208  508 4388],4,0.41023644394140646,0.7361618381943185,"['points', 'length', 'climb_total', 'median_delta']"
average,[   2    2  504    3  365    1  685 3688],8,0.41019544798769025,0.8211064726405677,"['points', 'length', 'climb_total', 'median_delta']"
complete,[   2  506    5  225  950 2915  215  432],8,0.4100271273115882,0.8328899753721735,"['points', 'length', 'median_delta']"
single,[   2 4742  506],3,0.4097353589812604,0.570004110379665,"['points', 'length', 'median_delta', 'startlist_quality']"
average,[  57    2  506  635 3547  503],6,0.4090151008998371,0.8189888002129369,"['points', 'length', 'climb_total', 'climb/length']"
average,[  29 1585 2978   81  577],5,0.40878794876337865,0.7778042313834607,"['length', 'climb_total', 'climb/length']"
single,[5220    1   27    1    1],5,0.4087683138521453,0.6577326421685586,"['length', 'climb_total', 'climb/length', 'startlist_quality']"
single,[5220    1    6   21    1    1],6,0.40862994345024983,0.6577326421685586,"['length', 'climb_total', 'climb/length', 'startlist_quality']"
single,[5248    1    1],3,0.4085746765419446,0.6187413973304775,"['length', 'climb_total', 'climb/length', 'median_delta']"
single,[4720   22   53  455],4,0.408496738742226,0.6236635398754447,"['points', 'length', 'climb/length', 'startlist_quality']"
average,[  57  271 4922],3,0.4084377873766973,0.7972674724321313,"['points', 'climb_total', 'climb/length', 'median_delta', 'startlist_quality']"
average,[  30   26  829 3883   11  471],6,0.4079663740449318,0.817222247152381,"['length', 'climb/length', 'median_delta']"
average,[   2  506 3838  902    1    1],6,0.4076416324557715,0.7819670240211375,"['points', 'climb_total', 'median_delta', 'startlist_quality']"
average,[  30   25    1  829 3883   11  471],7,0.4071497832014869,0.817222247152381,"['length', 'climb/length', 'median_delta']"
average,[  30  508   92 3916  696    8],6,0.4068233982097717,0.8348932356893539,"['points', 'length', 'climb/length', 'median_delta']"
single,[4742   53  455],3,0.40681905354637987,0.6236635398754447,"['points', 'length', 'climb/length', 'startlist_quality']"
average,[  27   28  455   53  515  317 3413  442],8,0.406202127379188,0.8486401110887601,"['points', 'length', 'climb/length']"
average,[ 508 4545  197],3,0.4061907772773222,0.8101429583930069,"['points', 'length', 'median_delta', 'startlist_quality']"
