method,clusters_size,n_cluster,silhouette_score,coph_corr,features
ward,[1965 1794 2196],3,0.217095427336253,0.5232987662241266,"['BMI', 'birth_year', 'std_dev position']"
complete,[  25 3049 1072  366 1443],5,0.216468181864245,0.524317011982459,"['AVG position', 'birth_year', 'std_dev position']"
average,[ 732   20  484  146  130 4443],6,0.2152637797753498,0.7364650134194105,"['AVG position', 'birth_year', 'std_dev position']"
average,[ 199    2  169 2174 2289 1122],6,0.21517286933188462,0.6514964994329338,"['AVG position', '# cyclist races', 'birth_year']"
ward,[ 429  424 1112 1794  682 1514],6,0.21487258046708976,0.5232987662241266,"['BMI', 'birth_year', 'std_dev position']"
average,[   8   54 1084 2285 2524],5,0.2135446756585032,0.5528646342396834,"['BMI', 'AVG position', '# cyclist races', 'birth_year']"
average,[5382   11  105   49  403    5],6,0.21239866794114842,0.6667820291117917,"['BMI', '# cyclist races', 'birth_year']"
ward,[ 429  424  461  651 1794  682 1514],7,0.21200945760406364,0.5232987662241266,"['BMI', 'birth_year', 'std_dev position']"
average,[  19  530 2988  800    1 1616    1],7,0.21041684963952034,0.6444393002642427,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
average,[2320  845 2217   11  105   49  403    5],8,0.21007917410063062,0.6667820291117917,"['BMI', '# cyclist races', 'birth_year']"
ward,[ 568  777  844 1105  931  510 1220],7,0.2096888884200425,0.4927596107422389,"['BMI', 'AVG position', '# cyclist races']"
complete,[1581  319 2256  738 1061],5,0.20960955983528687,0.5127937380059333,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 699 1070 1525 2661],4,0.2095447894814453,0.530546773129352,"['BMI', 'AVG position', 'birth_year']"
complete,[1581 2575  738 1061],4,0.20909298925024766,0.5127937380059333,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 983  955 2182 1835],4,0.208719438764801,0.5412291922194065,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
ward,[1167 1104 1677 2007],4,0.208234194605891,0.507823048745844,"['BMI', 'AVG position', '# cyclist races', 'birth_year']"
average,[ 767  761 4406    7   14],5,0.20738742858477016,0.6274769819611113,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
complete,[ 115  334   34  995 1800 1316 1361],7,0.20710151723986553,0.5327380706827063,"['# cyclist races', 'birth_year', 'std_dev position']"
average,[  19  530 3789 1616    1],5,0.20700529511817392,0.6444393002642427,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
average,[  12   12  410 1660  413 3304    2  142],8,0.20685603601055666,0.6989726906423558,"['BMI', '# cyclist races', 'std_dev position']"
average,[5310  580   39    1    4   21],6,0.20677863864515306,0.6667007969499511,"['BMI', 'AVG position', '# cyclist races']"
average,[ 724   43  761  705 3701    7   14],7,0.20672527193254298,0.6274769819611113,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
single,[   2 5947    1    1    1    1    1    1],8,0.20566177684960787,0.4708879691940416,"['BMI', 'AVG position', 'std_dev position']"
complete,[ 591  124  380 2058  168 2634],6,0.20508334076379298,0.6114854066466168,"['AVG position', '# cyclist races', 'birth_year']"
complete,[ 541  420  999  847 3148],5,0.20360868432268742,0.5714130822517849,"['BMI', 'AVG position', '# cyclist races']"
complete,[ 541  420  999 3995],4,0.2021284332990986,0.5714130822517849,"['BMI', 'AVG position', '# cyclist races']"
complete,[1581  319  533 1723  738 1061],6,0.20170306826371526,0.5127937380059333,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
average,[ 199    2  169 2174 2289   56 1066],7,0.20099186422881982,0.6514964994329338,"['AVG position', '# cyclist races', 'birth_year']"
ward,[ 429  424  461  651  289 1505  682 1514],8,0.19833894878163905,0.5232987662241266,"['BMI', 'birth_year', 'std_dev position']"
ward,[ 999  975 1326 2655],4,0.19808185818765883,0.5479685435735497,"['BMI', 'AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 699 1070 1525 1227 1434],5,0.19790842298774383,0.530546773129352,"['BMI', 'AVG position', 'birth_year']"
average,[  48  879    9 5019],4,0.19550290111361418,0.6571330678530021,"['BMI', 'AVG position', 'birth_year', 'std_dev position']"
single,[   2 5951    1    1],4,0.19547969577530636,0.3530101646771994,"['# cyclist races', 'birth_year', 'std_dev position']"
complete,[  25  274 1533 1242  692  380  366 1443],8,0.19487994565909286,0.524317011982459,"['AVG position', 'birth_year', 'std_dev position']"
ward,[ 983  955 2182  784 1051],5,0.19458780306284282,0.5412291922194065,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
average,[ 117 1073 4261    5  499],5,0.19446044495235812,0.6360851901057543,"['BMI', 'birth_year', 'std_dev position']"
average,[ 724   43  761 4406    7   14],6,0.1943643202331502,0.6274769819611113,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
ward,[ 243  352  583  769 1645  652  600 1111],8,0.19369141641484247,0.5307815797218554,"['AVG position', 'birth_year', 'std_dev position']"
ward,[1424  500  986 3045],4,0.1933460665597639,0.5062921080670673,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
complete,[  25  274 1533 1242 1072  366 1443],7,0.19204582228408656,0.524317011982459,"['AVG position', 'birth_year', 'std_dev position']"
ward,[ 699 1070 1525 1227  466  968],6,0.19163691856336615,0.530546773129352,"['BMI', 'AVG position', 'birth_year']"
ward,[1424  500  986 1832 1213],5,0.1910620822191797,0.5062921080670673,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 595  583 2414  652  600 1111],6,0.1909433045521775,0.5307815797218554,"['AVG position', 'birth_year', 'std_dev position']"
average,[  10  488   18 5439],4,0.19059122752596572,0.6309780419938165,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
complete,[ 366 1722 1453  144 1224   45 1001],7,0.19039893117988646,0.42622130879310494,"['BMI', '# cyclist races', 'std_dev position']"
ward,[ 595  583  769 1645  652  600 1111],7,0.18874078088363289,0.5307815797218554,"['AVG position', 'birth_year', 'std_dev position']"
average,[1231 4079  580   39    1    4   21],7,0.18845860676270657,0.6667007969499511,"['BMI', 'AVG position', '# cyclist races']"
complete,[ 115  334   34  995  623 1177 1316 1361],8,0.18688659815039876,0.5327380706827063,"['# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 699 1070 1525  281  946  466  968],7,0.18651766101635475,0.530546773129352,"['BMI', 'AVG position', 'birth_year']"
ward,[ 699  229  841 1525  281  946  466  968],8,0.18647842404844372,0.530546773129352,"['BMI', 'AVG position', 'birth_year']"
complete,[ 366 1722 1453  144  122 1102   45 1001],8,0.18579049548433446,0.42622130879310494,"['BMI', '# cyclist races', 'std_dev position']"
complete,[1494 2422  677 1362],4,0.18564842761131256,0.4305928879778895,"['BMI', 'AVG position', '# cyclist races', 'birth_year']"
ward,[ 999  975 1326  978 1677],5,0.18564219782426397,0.5479685435735497,"['BMI', 'AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
average,[   4  113 1073 4261    5  499],6,0.1852186580633959,0.6360851901057543,"['BMI', 'birth_year', 'std_dev position']"
average,[1231  711 3368  580   39    1    4   21],8,0.18505887836854168,0.6667007969499511,"['BMI', 'AVG position', '# cyclist races']"
ward,[ 527 1113  525 2151  452 1187],6,0.1848135397229157,0.5241501717663869,"['BMI', 'AVG position', 'std_dev position']"
