_url,name,points,uci_points,length,climb_total,profile,startlist_quality,average_temperature,is_tarmac,is_cobbled,is_gravel,climb/length
tour-de-france/1985/stage-9,Tour de France,100,,173500,2890,3,1470,,1,0,0,0.01665706051873199
volta-a-catalunya/2017/stage-6,Volta Ciclista a Catalunya,50,50,189700,3163,4,883,,1,0,0,0.016673695308381656
itzulia-basque-country/2002/stage-4,Vuelta al País Vasco,50,,154000,,,966,,1,0,0,
paris-nice/2008/stage-4,Paris - Nice,30,,176000,,,775,,1,0,0,
tour-de-france/2011/stage-5,Tour de France,100,20,164500,1652,1,1713,,1,0,0,0.010042553191489362
giro-d-italia/1997/stage-18,Giro d'Italia,80,,40000,,,792,,1,0,0,
dauphine/2021/stage-2,Critérium du Dauphiné,50,60,172800,3224,2,790,,1,0,0,0.018657407407407407
la-fleche-wallone/1997/result,La Flèche Wallonne,225,,200500,,,1090,,0,0,0,
tour-de-suisse/1971/stage-3a,Tour de Suisse,50,,91000,,,302,,1,0,0,
tour-de-romandie/1983/stage-1,Tour de Romandie,50,,197000,,,478,,1,0,0,
san-sebastian/2006/result,Clasica Ciclista San Sebastian,225,,227000,,2,952,,0,0,0,
tirreno-adriatico/2010/stage-1,Tirreno-Adriatico,50,6,148000,1282,1,1176,,1,0,0,0.008662162162162161
tirreno-adriatico/2015/stage-5,Tirreno-Adriatico,50,6,196900,4335,5,1017,,1,0,0,0.02201625190452006
giro-d-italia/2002/stage-1,Giro d'Italia,80,,215000,452,1,920,,1,0,0,0.002102325581395349
giro-d-italia/2016/stage-13,Giro d'Italia,80,100,170000,3669,4,933,,1,0,0,0.02158235294117647
vuelta-a-espana/2018/stage-20,La Vuelta ciclista a España,80,100,97300,3429,5,1036,,1,0,0,0.0352415210688592
san-sebastian/2004/result,Clasica Ciclista San Sebastian,225,,227000,,2,1278,,0,0,0,
itzulia-basque-country/2019/stage-3,Itzulia Basque Country,50,50,191400,2356,3,762,,1,0,0,0.012309299895506791
vuelta-a-espana/1995/stage-14,Vuelta a España,80,,207000,1781,,883,,1,0,0,0.008603864734299516
vuelta-a-espana/1987/stage-10,Vuelta a España,80,,213000,3500,,838,,1,0,0,0.01643192488262911
dauphine/1977/stage-2,Critérium du Dauphiné Libéré,50,,204000,,,809,,1,0,0,
tour-de-suisse/1992/stage-7,Tour de Suisse,50,,225000,,,533,,1,0,0,
tour-de-romandie/2022/stage-1,Tour de Romandie,50,60,178000,2729,3,508,15,1,0,0,0.015331460674157303
